transistor_name,Ciss_pct_change,Ciss_r2,Ciss_tempco,Coss_pct_change,Coss_r2,Coss_tempco,Crss_pct_change,Crss_r2,Crss_tempco,Id_diode_pct_change,Id_diode_r2,Id_diode_tempco,Id_sat_pct_change,Id_sat_r2,Id_sat_tempco,Id_switch_pct_change,Id_switch_r2,Id_switch_tempco,Power_diode_pct_change,Power_diode_r2,Power_diode_tempco,Power_switch_pct_change,Power_switch_r2,Power_switch_tempco,Rds_on_diode_pct_change,Rds_on_diode_r2,Rds_on_diode_tempco,Rds_on_switch_pct_change,Rds_on_switch_r2,Rds_on_switch_tempco,Vt_thermal_pct_change,Vt_thermal_r2,Vt_thermal_tempco,Vth_pct_change,Vth_r2,Vth_tempco,gds_pct_change,gds_r2,gds_tempco,gm_pct_change,gm_r2,gm_tempco,lambda_pct_change,lambda_r2,lambda_tempco
CREE_C3M0016120K,,,,,,,,,,-1.2129900622774183,0.0004789957815457546,-0.0003516502246671683,-41.80830180413579,0.10895142778496325,-0.002490179185506021,15.457836543863323,0.011715052124108394,0.000939424058492498,-8.472523099592491,0.002411304069249609,-0.001005221342725262,60.49279906049666,0.017540497786685205,0.0025201096275935995,-0.2051901148708969,0.0006484676612948936,-0.00030192089339093063,-36.0906552723091,0.634253343497184,0.0006412615106086107,92.2153120308821,1.0,8.617333262145209e-05,,,,37.436930066315874,0.3429588531839505,0.0012914179209474208,,,,60.93259480219856,0.0775648377838506,0.00762085572900338
CREE_C3M0060065J,,,,,,,,,,2.1226285091790973,8.589663085423194e-05,0.00014310963242687876,-24.261719192335537,0.07192723574423432,-0.0024280221637917577,24.51229493622691,0.007895201077804614,0.0006939592092073428,-2.8443151285242707,0.00019368138731545859,-0.0002616973018205314,34.61220934626792,0.021771083044798134,0.0026498156824652013,-10.231953794344907,0.0029785471817149745,-0.0006189285351056812,-50.36556512402408,0.416109705250028,-0.0006404415834299911,92.2153120308821,1.0,8.617333262145209e-05,,,,40.696594833349295,0.522851178004945,0.0015826304899534938,,,,101.5310279421503,0.2727936375348585,0.019550122482409636
CREE_C3M0065100J,,,,,,,,,,5.8098869843357885,0.0003011443227437516,-0.0002886330319797459,68.89402673455413,0.0004930860967705675,0.0002312058966248206,44.83032949228893,0.0073806158391074295,0.0008199951578207666,-11.685481146324365,0.004402847707342672,-0.0013447492251872277,71.06330045473506,0.0393993554822607,0.0037369627681325544,14.239652530389076,0.003652493640357135,-0.0007286526805834847,-63.848532877946326,0.5498055207222198,-0.0006816555453035006,93.972037588815,1.0,8.617333262145168e-05,,,,161.17231444248364,0.7150484342446549,0.004843224221064797,,,,271.98140845297485,0.7399436123755074,0.029047251028565726
CREE_C3M0120065J,,,,,,,,,,5.168519652342822,0.0029079851572184623,0.0008693857697797295,24.321615634557336,0.05830723315269215,0.002048329688180827,43.075281196049374,0.012765512655968148,0.0008583729657074707,-10.5097306992522,5.659122091516977e-05,0.00014867577564666744,69.34434847826522,0.03836739051362403,0.003109122784731961,-40.1515806798791,0.010663934986930967,-0.0011769364632505917,-60.40877335922473,0.4858103466208674,-0.0006248498327760874,92.2153120308821,1.0,8.617333262145209e-05,,,,,,,,,,,,
CREE_C3M0120100J,,,,,,,,,,23.13072196266213,0.005974642747149761,0.00129542861253347,26.998629172137246,0.06593049861120326,0.00255652468779666,43.46109019513053,0.03485846639367418,0.0017238644104653662,11.713255335248027,0.001216191877511097,0.0007120561434958116,57.17196982244877,0.009950698223790355,0.002130797730915819,-27.284247229549745,0.016754682518056563,-0.0015628055695409745,-65.41406295386314,0.36161893708862103,-0.0015976666206471684,93.972037588815,1.0,8.617333262145168e-05,,,,,,,,,,,,
CREE_CAB530M12BM3,,,,,,,,,,7.26962720377827,0.0008366935654842145,-0.0005032948474325264,-30.41009401260589,0.851666958133281,-0.0020473209775212354,-6.14875319600875,0.0017810871722481192,-0.0004407898486735175,-12.775670477765408,0.00642978709089137,-0.0017814408397115833,32.19857425710599,0.0036615989511796787,0.001311516472923272,-39.053262693956206,0.003716466054699885,-0.0007748511448465261,43.90927441146198,0.7886160122151145,0.002193096170270333,81.49260132961675,1.0,8.617333262145214e-05,,,,-13.858648800552137,0.8879587405427636,-0.0008804869019427622,,,,23.784261491964,0.81196357160096,0.00036269216908664997
CREE_WAB300M12BM3,,,,,,,,,,8.655328005337147,0.00013398464187930337,-0.00018977625994012198,-41.83703437428106,0.9048609505878735,-0.0025966948141400194,12.033426394766138,0.005569121491787565,0.000785331104657576,-8.065584551853433,0.003340653586426545,-0.0011336379174452784,100.3762008914647,0.03497053347994106,0.004157260905370721,-47.90101954937981,0.0032400715644654854,-0.000754085397565015,70.93894181078562,0.8195859692416947,0.0025865986960556097,92.2153120308821,1.0,8.617333262145206e-05,,,,2.8679982330919214,0.49719350511844596,0.00015939973269777364,,,,76.86168015408933,0.8948693544971972,0.0006095466361371411
Fuji_2MBI100XAA120-50,,,,,,,,,,6.945205613551991,0.008410310176630853,0.0018997616911097352,-54.81251295158182,0.9918363328835151,-0.005419218302973506,5.790006068185994,0.0007656793762755854,0.0014610806548986922,10.727372969681856,0.004920351310692794,0.00184582636879536,50.01523109246292,0.0022527735059326703,0.0028711807612860217,-61.914829334998025,0.016360611804144498,-0.0019536970134241176,-31.714275510728452,0.0009649406756346846,-0.0004073873084328849,50.31024652020817,1.0,8.617333262145192e-05,,,,-62.82813551007984,,,,,,-17.738588892782005,0.9929567577894228,0.0010331828405690628
Fuji_2MBI200XAA065-50,,,,,,,,,,9.904464270903434,0.0029523741535143477,0.001127011307069827,-49.53608607887964,0.9930658923952925,-0.004616074810031373,-6.5951256348474665,2.537140598724008e-07,1.8751980941659695e-05,5.365243285552958,0.0006409037570059839,0.0006628040341083799,17.747699469555307,0.0002561184268701222,0.0006840342646367409,-40.017356392016836,0.010653805956928553,-0.0015912185800312677,-27.030792837205325,0.0084201950937689,0.0010335536592621895,50.31024652020817,1.0,8.617333262145192e-05,,,,-63.01448730721248,,,,,,-26.708989020155627,0.9921684939159898,0.0014802944748558598
Fuji_2MBI200XBE120-50,,,,,,,,,,-0.3493625374134098,4.318623507859609e-05,-0.00012366423444923,-54.08202475446843,0.9934050530543159,-0.005312047488620079,6.804128669862601,0.0023533620298490376,0.0012555629564583513,2.932640675831806,0.00022605910929152095,-0.00036326578500814593,53.19682759682224,0.006573053132821638,0.0029333804103370883,-24.814269693763407,7.29127032483845e-05,-0.00011593731610969103,-29.186759919736645,0.000706619440856926,0.0004222544974203901,50.31024652020817,1.0,8.617333262145192e-05,,,,-62.19255243038126,,,,,,-17.6630777653945,0.9789389221268393,0.0010193032209041863
