temperature_C,vgs_V,vth_estimate_V,lambda_per_V,gds_S,gm_estimate_S,id_sat_A
-40,7,,,,,21.369260407759555
-40,9,,6.408031064707217,35.91215196442373,,5.604241240685146
-40,11,,1.962961343152147,35.74826860609134,,18.211397147885926
-40,13,,0.7883922421320767,26.63432975060701,,33.78309466691207
-40,15,,0.5155468852474032,23.459142590363147,,45.50341251524671
25,7,,,,,47.99
25,9,,5.085714366776544,46.80933534500846,,9.204082645852056
25,11,,1.0403499464625454,34.88287599529128,,33.52994452866743
25,13,,2.2630748065003514,47.050514948592394,,20.790525710173906
25,15,,0.8137106145017302,33.22223628201935,,40.82807289218262
175,7,,9.634041602973333,46.6816126727563,,4.845485892270702
175,9,,3.1391464523962074,41.0063057761345,,13.062883939305577
175,11,,2.229401807494917,38.19651537930585,,17.13307814270844
175,13,,2.3232566824466896,42.21297782565701,,18.16974342292703
175,15,,2.1368014109339253,41.071104163365156,,19.22083350993967
