temperature_C,vgs_V,vds_V,id_A,rds_on_Ohm,power_W
25,-4,0.0,0.0,,0.0
25,-4,2.745425084268506,0.0,,0.0
25,-4,3.245867434463995,5.367816565777069,0.6046904536861923,17.42322098503215
25,-4,3.6910397924917797,13.229283265844607,0.27900527325023833,48.829810960378055
25,-4,4.136656086199625,25.88525531058064,0.15980742845942725,107.07839892334455
25,-4,4.573330246923367,41.966191126994204,0.10897653859231539,191.92525122924962
25,-4,5.177970643167671,72.08247056547897,0.0718339785324652,373.24091647504787
25,-4,5.475914903872071,89.8804861729891,0.060924402359515656,492.1778938019386
25,-4,5.848567197592601,114.52525835471099,0.0510679240685775,669.8086693091807
25,-4,6.221536588227461,142.5946772111961,0.04363091743608901,887.1580015559412
25,-4,6.52934256296752,166.89920440384196,0.03912147206626958,1089.7420790394215
25,-4,6.874692812364243,196.68189788845166,0.03495335811871834,1352.1276297358966
25,-4,7.462875878754824,249.05901490672596,0.0299642873057605,1858.6965147338433
25,-2,0.0,0.0,,0.0
25,-2,2.1898712903624755,0.0,,0.0
25,-2,2.7367049191244313,6.412650898494178,0.4267665529347724,17.54953325853672
25,-2,3.1633271076639167,13.932287124914062,0.22705009445342084,44.07238153399762
25,-2,3.534489045887095,22.481219935248873,0.15721962847511137,79.45962559931573
25,-2,3.7853127051220667,31.376739672946307,0.1206407276402221,118.77077132931126
25,-2,4.1103687520016745,41.98204597271071,0.09790777597341274,172.56168991132785
25,-2,4.370705318666545,53.61696595330436,0.08151720711822902,234.34395826287042
25,-2,4.7985324754804815,74.15025954382443,0.06471363020171822,355.81242848634804
25,-2,5.245322027771348,99.47742428518433,0.052728768014076534,521.7911248690338
25,-2,5.6365562006716114,124.80649160803023,0.045162363976818554,703.4788041573122
25,-2,6.055948579564372,154.24418364984894,0.0392620871417235,934.0948448803689
25,-2,6.457044466500296,186.0797625578306,0.03470041221969826,1201.525301151729
25,-2,7.2128449618056765,248.72511185593658,0.02899926311414591,1794.0156699246454
25,0,0.0,0.0,,0.0
25,0,1.671386125741611,0.0,,0.0
25,0,1.9030254216596223,2.6740782785443358,0.7116565872168691,5.088838943577671
25,0,2.2091190730623005,8.48551342746891,0.26034005979073027,18.74550955734782
25,0,2.5988946001566458,18.06120604640403,0.14389374626918025,46.939170866316
25,0,3.06325132150139,33.11379656964564,0.0925067989428121,101.43588110189522
25,0,3.4719575343812332,47.14089567194428,0.07365064844212443,163.6711879056866
25,0,3.8437219567416383,62.196657164329196,0.061799494249123024,239.06665677846425
25,0,4.103995104023642,73.14664780997022,0.05610640031906219,300.19348448785945
25,0,4.457399615044347,89.91536683356539,0.0495732795406936,400.7887215105056
25,0,4.810867545447915,107.36901519211321,0.04480685174246897,516.5381105744416
25,0,5.462533414087348,145.36039649798172,0.03757924129054775,794.0360229552107
25,0,6.13347877511804,191.57029562945326,0.03201685707570125,1174.9923421863398
25,0,6.9351314842355265,249.4195540983191,0.02780508332358639,1729.757402411239
175,-4,0.0,0.0,,0.0
175,-4,2.2908953204293088,0.0,,0.0
175,-4,2.720961170173828,3.284076822719676,0.8285315225727546,8.935845514488078
175,-4,3.02037248370198,8.45651203708357,0.35716527930865777,25.54181626490179
175,-4,3.422925380178606,17.771566226632892,0.1926068494204483,60.83074508266667
175,-4,3.8821997489156663,34.34044253706833,0.11305037041165321,133.31645739505953
175,-4,4.332580395549851,55.74679985173411,0.07771890775924203,241.52749215226453
175,-4,4.839842473475097,86.13453681806071,0.05618933649922731,416.8775897251548
175,-4,5.178315782282432,109.61780218639117,0.04723973368374384,567.6355950809032
175,-4,5.677004056166056,148.29813521849746,0.03828102118615146,841.8891151572724
175,-4,6.128952301300387,186.6345563347551,0.03283932205088139,1143.874293550074
175,-4,6.797900967383693,248.11289024798458,0.027398419165523033,1686.6468566371386
175,-2,0.0,0.0,,0.0
175,-2,1.9079534011075907,0.0,,0.0
175,-2,2.4502784985463375,5.7119349895806195,0.42897520770386804,13.99583149006389
175,-2,2.8620450351870934,13.644623236448929,0.2097562523779845,39.051526190877105
